2017-07-17 10:32:59.800 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver-Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2017-07-17 10:33:00.610 [main] WARN  o.s.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration-spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
2017-07-17 10:33:33.241 [http-nio-8084-exec-6] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 11:41:48.003 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver-Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2017-07-17 11:41:48.813 [main] WARN  o.s.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration-spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
2017-07-17 11:42:07.586 [http-nio-8084-exec-7] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/img/login.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 11:42:07.645 [http-nio-8084-exec-5] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 11:42:09.960 [http-nio-8084-exec-1] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/img/login.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 11:42:10.020 [http-nio-8084-exec-3] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/img/login.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 13:39:43.616 [http-nio-8084-exec-9] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/usercenter] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 13:40:12.690 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver-Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2017-07-17 13:40:13.562 [main] WARN  o.s.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration-spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
2017-07-17 13:40:36.438 [http-nio-8084-exec-3] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/user_06.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 13:40:36.456 [http-nio-8084-exec-7] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/u1.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 13:40:36.465 [http-nio-8084-exec-8] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/u2.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 13:40:36.472 [http-nio-8084-exec-1] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/u3.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 13:40:36.479 [http-nio-8084-exec-2] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/u4.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 13:40:36.494 [http-nio-8084-exec-5] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/u6.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 13:40:36.494 [http-nio-8084-exec-4] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/u5.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 13:40:36.501 [http-nio-8084-exec-6] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/user_06.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 13:40:43.868 [http-nio-8084-exec-10] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/user_06.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 13:40:43.873 [http-nio-8084-exec-8] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/u1.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 13:40:43.882 [http-nio-8084-exec-1] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/u2.jpg] in DispatcherServlet with name 'dispatcherServlet'
